epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
224,1517.5,0.07457,0.77857,1,0.96161,0.000622069,0.000622069,0.000622069
225,1524.28,0.09144,0.78571,1,0.88668,0.000619877,0.000619877,0.000619877
226,1531.01,0.06789,0.76429,1,1.12055,0.000617684,0.000617684,0.000617684
227,1537.8,0.07689,0.74286,1,1.01342,0.000615492,0.000615492,0.000615492
228,1544.56,0.05191,0.71429,1,1.27382,0.000613299,0.000613299,0.000613299
229,1551.3,0.04582,0.74286,1,0.98269,0.000611107,0.000611107,0.000611107
230,1558.07,0.05352,0.75,1,1.00985,0.000608914,0.000608914,0.000608914
231,1564.85,0.06683,0.74286,1,0.87524,0.000606722,0.000606722,0.000606722
232,1571.63,0.06933,0.78571,1,1.28983,0.000604529,0.000604529,0.000604529
233,1578.37,0.07208,0.75714,1,1.04471,0.000602337,0.000602337,0.000602337
234,1585.13,0.10321,0.78571,1,1.03239,0.000600144,0.000600144,0.000600144
235,1591.89,0.04777,0.80714,1,0.87204,0.000597952,0.000597952,0.000597952
236,1598.6,0.05548,0.78571,1,0.93898,0.000595759,0.000595759,0.000595759
237,1605.33,0.04403,0.82143,1,0.98572,0.000593567,0.000593567,0.000593567
238,1612.1,0.07828,0.77143,1,1.02259,0.000591374,0.000591374,0.000591374
239,1618.85,0.0964,0.8,1,1.18708,0.000589182,0.000589182,0.000589182
240,1625.59,0.07759,0.79286,1,0.97141,0.000586989,0.000586989,0.000586989
241,1632.34,0.04536,0.79286,1,0.98089,0.000584797,0.000584797,0.000584797
242,1639.13,0.0693,0.8,1,0.82376,0.000582604,0.000582604,0.000582604
243,1645.88,0.04623,0.8,1,0.99899,0.000580412,0.000580412,0.000580412
244,1652.65,0.04818,0.79286,1,1.03386,0.000578219,0.000578219,0.000578219
245,1659.44,0.04385,0.80714,1,0.90567,0.000576027,0.000576027,0.000576027
246,1666.21,0.04499,0.79286,1,1.02645,0.000573834,0.000573834,0.000573834
247,1672.94,0.05432,0.78571,1,0.87171,0.000571642,0.000571642,0.000571642
248,1679.71,0.05645,0.79286,1,0.85072,0.000569449,0.000569449,0.000569449
249,1686.51,0.06424,0.77143,1,0.90718,0.000567257,0.000567257,0.000567257
250,1693.28,0.05326,0.79286,1,0.87322,0.000565064,0.000565064,0.000565064
251,1700.04,0.02584,0.75714,1,1.03167,0.000562871,0.000562871,0.000562871
